Month of Year ID,Month of Year,Supersector ID,Supersector,NSA Employees,Date,NSA Employees Growth
2022-02,"February, 2022",30,Manufacturing,12685700,2/1/22,3.567725554548646
2022-02,"February, 2022",40,"Trade, Transportation, and Utilities",28581600,2/1/22,4.902774005534798
2022-02,"February, 2022",50,Information,3019000,2/1/22,8.934112722811575
2022-02,"February, 2022",55,Financial Activities,8869300,2/1/22,3.010417997
2022-02,"February, 2022",60,Professional and Business Services,22305800,2/1/22,6.8838288
2022-02,"February, 2022",65,Education and Health Services,24227900,2/1/22,2.327162762016987
2022-02,"February, 2022",70,Leisure and Hospitality,14902700,2/1/22,19.28840150484271
2022-02,"February, 2022",80,Other Services,5576700,2/1/22,6.896816116851004
2022-02,"February, 2022",90,Government,22676400,2/1/22,1.5976845670660131
2022-03,"March, 2022",15,"Mining, Logging, and Construction",8083600,3/1/22,4.207703810653329
2022-03,"March, 2022",30,Manufacturing,12748800,3/1/22,3.554486971213204
2022-03,"March, 2022",40,"Trade, Transportation, and Utilities",28551000,3/1/22,4.508534259662582
2022-03,"March, 2022",50,Information,3031700,3/1/22,8.744933462462786
2022-03,"March, 2022",55,Financial Activities,8875000,3/1/22,2.767484946734599
2022-03,"March, 2022",60,Professional and Business Services,22351700,3/1/22,6.526453248690562
2022-03,"March, 2022",65,Education and Health Services,24274100,3/1/22,2.0438962665893166
2022-03,"March, 2022",70,Leisure and Hospitality,15200600,3/1/22,17.24244317436811
2022-03,"March, 2022",80,Other Services,5606200,3/1/22,6.198143588
2022-03,"March, 2022",90,Government,22760500,3/1/22,1.4241853045109598
2022-04,"April, 2022",15,"Mining, Logging, and Construction",8278700,4/1/22,3.817262957250166
2022-04,"April, 2022",30,Manufacturing,12792300,4/1/22,4.371557948843471
2022-04,"April, 2022",40,"Trade, Transportation, and Utilities",28587400,4/1/22,4.898266214108797
2022-04,"April, 2022",50,Information,3034800,4/1/22,8.327681599143316
2022-04,"April, 2022",55,Financial Activities,8935300,4/1/22,3.1396811838444934
2022-04,"April, 2022",60,Professional and Business Services,22670700,4/1/22,6.845034710603583
2022-04,"April, 2022",65,Education and Health Services,24434100,4/1/22,2.329779125
2022-04,"April, 2022",70,Leisure and Hospitality,15605300,4/1/22,14.73726003426244
2022-04,"April, 2022",80,Other Services,5672200,4/1/22,5.901682194133792
2022-04,"April, 2022",90,Government,22825200,4/1/22,1.1024835779113495
2022-05,"May, 2022",15,"Mining, Logging, and Construction",8411700,5/1/22,4.0665594457503405
2022-05,"May, 2022",30,Manufacturing,12811400,5/1/22,4.309523616
2022-05,"May, 2022",40,"Trade, Transportation, and Utilities",28647600,5/1/22,4.321037107170168
2022-05,"May, 2022",50,Information,3066700,5/1/22,8.024234738807284
2022-05,"May, 2022",55,Financial Activities,8959900,5/1/22,3.194932335156925
2022-05,"May, 2022",60,Professional and Business Services,22716300,5/1/22,6.424953970269244
2022-05,"May, 2022",65,Education and Health Services,24401400,5/1/22,2.5523133886131437
2022-05,"May, 2022",70,Leisure and Hospitality,15999000,5/1/22,12.831905215275574
2022-05,"May, 2022",80,Other Services,5713100,5/1/22,5.665088407190945
2022-05,"May, 2022",90,Government,22837400,5/1/22,1.2340972560840462
2022-06,"June, 2022",15,"Mining, Logging, and Construction",8536400,6/1/22,4.261374045801527
2022-06,"June, 2022",30,Manufacturing,12912300,6/1/22,4.155810633131942
2022-06,"June, 2022",40,"Trade, Transportation, and Utilities",28687000,6/1/22,3.795874505660705
2022-06,"June, 2022",50,Information,3084000,6/1/22,7.828397608475228
2022-06,"June, 2022",55,Financial Activities,9011600,6/1/22,3.141774731
2022-06,"June, 2022",60,Professional and Business Services,22786200,6/1/22,6.477570093457944
2022-06,"June, 2022",65,Education and Health Services,24138700,6/1/22,2.4075991039913114
2022-06,"June, 2022",70,Leisure and Hospitality,16425600,6/1/22,10.576592951630818
2022-06,"June, 2022",80,Other Services,5767700,6/1/22,5.190494428334336
2022-06,"June, 2022",90,Government,22354800,6/1/22,0.914126298
2022-07,"July, 2022",15,"Mining, Logging, and Construction",8605500,7/1/22,4.034188447496312
2022-07,"July, 2022",30,Manufacturing,12994500,7/1/22,4.170173877492124
2022-07,"July, 2022",40,"Trade, Transportation, and Utilities",28803900,7/1/22,3.749981990289164
2022-07,"July, 2022",50,Information,3105000,7/1/22,7.432011625493046
2022-07,"July, 2022",55,Financial Activities,9084400,7/1/22,2.994229221228303
2022-07,"July, 2022",60,Professional and Business Services,22992900,7/1/22,6.218471090415211
2022-07,"July, 2022",65,Education and Health Services,24161400,7/1/22,2.7082633702171797
2022-07,"July, 2022",70,Leisure and Hospitality,16614800,7/1/22,8.240444563156764
2022-07,"July, 2022",80,Other Services,5800000,7/1/22,4.655359076145796
2022-07,"July, 2022",90,Government,21533400,7/1/22,0.9654202320947134
2022-08,"August, 2022",15,"Mining, Logging, and Construction",8612100,8/1/22,4.308173053631123
2022-08,"August, 2022",30,Manufacturing,12992600,8/1/22,4.078183201826411
2022-08,"August, 2022",40,"Trade, Transportation, and Utilities",28809800,8/1/22,3.715570404
2022-08,"August, 2022",50,Information,3122700,8/1/22,6.395229982964225
2022-08,"August, 2022",55,Financial Activities,9082300,8/1/22,2.9132484249648734
2022-08,"August, 2022",60,Professional and Business Services,23027800,8/1/22,6.123295436216249
2022-08,"August, 2022",65,Education and Health Services,24301700,8/1/22,3.0772558766892035
2022-08,"August, 2022",70,Leisure and Hospitality,16593200,8/1/22,7.867827262739796
2022-08,"August, 2022",80,Other Services,5786200,8/1/22,4.595083152566884
2022-08,"August, 2022",90,Government,21903200,8/1/22,1.2186048661013424
2022-09,"September, 2022",15,"Mining, Logging, and Construction",8595000,9/1/22,4.681752856064112
2022-09,"September, 2022",30,Manufacturing,12950100,9/1/22,3.985964010695617
2022-09,"September, 2022",40,"Trade, Transportation, and Utilities",28764300,9/1/22,3.774428983227566
2022-09,"September, 2022",50,Information,3084400,9/1/22,6.135370427721001
2022-09,"September, 2022",55,Financial Activities,9015900,9/1/22,3.047100910930017
2022-09,"September, 2022",60,Professional and Business Services,22968800,9/1/22,6.0968455672112665
2022-09,"September, 2022",65,Education and Health Services,24629700,9/1/22,3.783093641891294
2022-09,"September, 2022",70,Leisure and Hospitality,16172700,9/1/22,7.642900881233194
2022-09,"September, 2022",80,Other Services,5738800,9/1/22,4.732183593393558
2022-09,"September, 2022",90,Government,22744700,9/1/22,1.048483475278448
2022-10,"October, 2022",15,"Mining, Logging, and Construction",8627600,10/1/22,4.112564560505865
2022-10,"October, 2022",30,Manufacturing,12982400,10/1/22,3.431407697762056
2022-10,"October, 2022",40,"Trade, Transportation, and Utilities",29062200,10/1/22,2.521209983243672
2022-10,"October, 2022",50,Information,3093800,10/1/22,4.828380713583845
2022-10,"October, 2022",55,Financial Activities,9072300,10/1/22,2.2645805622562394
2022-10,"October, 2022",60,Professional and Business Services,23184900,10/1/22,4.172301775227688
2022-10,"October, 2022",65,Education and Health Services,24963700,10/1/22,3.2500754821551916
2022-10,"October, 2022",70,Leisure and Hospitality,16148800,10/1/22,6.952778329690708
2022-10,"October, 2022",80,Other Services,5775800,10/1/22,3.806613946800862
2022-10,"October, 2022",90,Government,23070800,10/1/22,1.2987925356750822
2022-11,"November, 2022",15,"Mining, Logging, and Construction",8550900,11/1/22,3.7415832575068246
2022-11,"November, 2022",30,Manufacturing,12990400,11/1/22,3.087776657963861
2022-11,"November, 2022",40,"Trade, Transportation, and Utilities",29496000,11/1/22,1.6472534289061962
2022-11,"November, 2022",50,Information,3113400,11/1/22,4.141022210329141
2022-11,"November, 2022",55,Financial Activities,9069800,11/1/22,1.9926680610844971
2022-11,"November, 2022",60,Professional and Business Services,23181300,11/1/22,3.5198342346526386
2022-11,"November, 2022",65,Education and Health Services,25120800,11/1/22,3.4505763314925315
2022-11,"November, 2022",70,Leisure and Hospitality,16069000,11/1/22,7.057436191262983
2022-11,"November, 2022",80,Other Services,5785800,11/1/22,3.799784715
2022-11,"November, 2022",90,Government,23238200,11/1/22,1.6210779490543348
2022-12,"December, 2022",15,"Mining, Logging, and Construction",8420000,12/1/22,3.3928067094809484
2022-12,"December, 2022",30,Manufacturing,13007200,12/1/22,2.6452020202020203
2022-12,"December, 2022",40,"Trade, Transportation, and Utilities",29764200,12/1/22,1.3414958018671987
2022-12,"December, 2022",50,Information,3107200,12/1/22,4.003213281563797
2022-12,"December, 2022",55,Financial Activities,9093800,12/1/22,1.9667204879799067
2022-12,"December, 2022",60,Professional and Business Services,23047100,12/1/22,3.044786529614014
2022-12,"December, 2022",65,Education and Health Services,25104200,12/1/22,3.680239209353614
2022-12,"December, 2022",70,Leisure and Hospitality,15971800,12/1/22,5.995327971118367
2022-12,"December, 2022",80,Other Services,5795100,12/1/22,3.787878787878788
2022-12,"December, 2022",90,Government,23050100,12/1/22,1.204348475
2023-01,"January, 2023",15,"Mining, Logging, and Construction",8210600,1/1/23,4.549679752460749
2023-01,"January, 2023",30,Manufacturing,12909600,1/1/23,2.762167067326827
2023-01,"January, 2023",40,"Trade, Transportation, and Utilities",28977500,1/1/23,1.8917350867631288
2023-01,"January, 2023",50,Information,3038800,1/1/23,2.2579668203385266
2023-01,"January, 2023",55,Financial Activities,9008700,1/1/23,2.0052991530413515
2023-01,"January, 2023",60,Professional and Business Services,22627800,1/1/23,2.7947629993730865
2023-01,"January, 2023",65,Education and Health Services,24885500,1/1/23,4.271330464550136
2023-01,"January, 2023",70,Leisure and Hospitality,15700600,1/1/23,7.527308838133069
2023-01,"January, 2023",80,Other Services,5756700,1/1/23,4.359885428374605
2023-01,"January, 2023",90,Government,22727200,1/1/23,1.5817961588143008
2023-02,"February, 2023",15,"Mining, Logging, and Construction",8274900,2/1/23,3.880338446860328
2023-02,"February, 2023",30,Manufacturing,12936500,2/1/23,1.9770292534113214
2023-02,"February, 2023",40,"Trade, Transportation, and Utilities",28852000,2/1/23,0.9460632015002659
2023-02,"February, 2023",50,Information,3045500,2/1/23,0.8777740973832394
2023-02,"February, 2023",55,Financial Activities,9014800,2/1/23,1.6404902303451232
2023-02,"February, 2023",60,Professional and Business Services,22806100,2/1/23,2.2429143989455658
2023-02,"February, 2023",65,Education and Health Services,25235100,2/1/23,4.157190676864277
2023-02,"February, 2023",70,Leisure and Hospitality,15875700,2/1/23,6.529018231595616
2023-02,"February, 2023",80,Other Services,5789000,2/1/23,3.806910897
2023-02,"February, 2023",90,Government,23130100,2/1/23,2.000758497821524
