ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,Owner Occupied,2017,2017,75833135,358989.0,United States,01000US,united-states,0.6381868060589238
0,Owner Occupied,2017,2017,1612329,7757.999999999999,Massachusetts,04000US25,massachusetts,0.6235524796816354
0,Owner Occupied,2017,2017,93046,1495.0,"Boston, MA",16000US2507000,boston-ma,0.3534792898958701
0,Owner Occupied,2017,2017,12574,518.0,"Brookline, MA",16000US2509210,brookline-ma,0.508739278200356
0,Owner Occupied,2017,2017,16034,542.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.3624813491884071
0,Owner Occupied,2017,2017,3276,317.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2574864418769158
0,Owner Occupied,2017,2017,6184,474.0,"Everett, MA",16000US2521990,everett-ma,0.396639086652556
0,Owner Occupied,2017,2017,19116,625.0,"Quincy, MA",16000US2555745,quincy-ma,0.4759130629621331
0,Owner Occupied,2017,2017,9746,527.0,"Revere, MA",16000US2556585,revere-ma,0.4878610401962256
0,Owner Occupied,2017,2017,11179,529.0,"Somerville, MA",16000US2562535,somerville-ma,0.3444673836008998
0,Owner Occupied,2017,2017,7910,436.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.5217678100263852
0,Owner Occupied,2017,2017,1113637,5495.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.617268875517145
0,Owner Occupied,2016,2016,74881068,360470.0,United States,01000US,united-states,0.6361150331368476
0,Owner Occupied,2016,2016,1588743,8315.0,Massachusetts,04000US25,massachusetts,0.6208721832013815
0,Owner Occupied,2016,2016,89882,1409.0,"Boston, MA",16000US2507000,boston-ma,0.346601163023862
0,Owner Occupied,2016,2016,12184,542.0,"Brookline, MA",16000US2509210,brookline-ma,0.4924619053393153
0,Owner Occupied,2016,2016,16035,465.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.3686461135250707
0,Owner Occupied,2016,2016,3232,296.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2605821172297025
0,Owner Occupied,2016,2016,6023,382.0,"Everett, MA",16000US2521990,everett-ma,0.3944593621062283
0,Owner Occupied,2016,2016,18523,692.0,"Quincy, MA",16000US2555745,quincy-ma,0.4651332144740476
0,Owner Occupied,2016,2016,9734,539.0,"Revere, MA",16000US2556585,revere-ma,0.4811190193752471
0,Owner Occupied,2016,2016,11173,558.0,"Somerville, MA",16000US2562535,somerville-ma,0.3466753544943994
0,Owner Occupied,2016,2016,7459,396.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.5065190818959663
0,Owner Occupied,2016,2016,1094648,6427.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6134378810702246
0,Owner Occupied,2015,2015,74712091,353420.0,United States,01000US,united-states,0.6389673478521365
0,Owner Occupied,2015,2015,1583667,8036.0,Massachusetts,04000US25,massachusetts,0.6211138395142056
0,Owner Occupied,2015,2015,87958,1640.0,"Boston, MA",16000US2507000,boston-ma,0.3431918031635543
0,Owner Occupied,2015,2015,12614,563.0,"Brookline, MA",16000US2509210,brookline-ma,0.4981045648396778
0,Owner Occupied,2015,2015,16233,484.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.3706079769868268
0,Owner Occupied,2015,2015,3434,305.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.2794141578519121
0,Owner Occupied,2015,2015,5801,383.0,"Everett, MA",16000US2521990,everett-ma,0.3733187463800759
0,Owner Occupied,2015,2015,18675,592.0,"Quincy, MA",16000US2555745,quincy-ma,0.4730722464282095
0,Owner Occupied,2015,2015,10104,534.0,"Revere, MA",16000US2556585,revere-ma,0.493214878453578
0,Owner Occupied,2015,2015,10951,608.0,"Somerville, MA",16000US2562535,somerville-ma,0.340293962275877
0,Owner Occupied,2015,2015,7473,521.0,"Watertown Town, MA",16000US2573440,watertown-town-ma,0.520512641916835
0,Owner Occupied,2015,2015,1089886,5961.0,"Boston-Cambridge-Newton, MA-NH",31000US14460,boston-cambridge-newton-ma-nh,0.6135225507194164
0,Owner Occupied,2014,2014,74787460,343068.0,United States,01000US,united-states,0.6435483800462007
0,Owner Occupied,2014,2014,1580938,7666.0,Massachusetts,04000US25,massachusetts,0.6227880015048346
0,Owner Occupied,2014,2014,85814,1805.0,"Boston, MA",16000US2507000,boston-ma,0.3415999235705301
0,Owner Occupied,2014,2014,12664,597.0,"Brookline, MA",16000US2509210,brookline-ma,0.4984256926952141
0,Owner Occupied,2014,2014,15893,645.0,"Cambridge, MA",16000US2511000,cambridge-ma,0.3610978574512076
0,Owner Occupied,2014,2014,3322,300.0,"Chelsea, MA",16000US2513205,chelsea-ma,0.280053953802057
0,Owner Occupied,2014,2014,5964,513.0,"Everett, MA",16000US2521990,everett-ma,0.3885342019543974
0,Owner Occupied,2014,2014,18852,659.0,"Quincy, MA",16000US2555745,quincy-ma,0.4755442322730368
0,Owner Occupied,2014,2014,9937,590.0,"Revere, MA",16000US2556585,revere-ma,0.4941322725012431
0,Owner Occupied,2014,2014,10893,576.0,"Somerville, MA",16000US2562535,somerville-ma,0.3427196073496099
