ID Sector,Sector,ID University,University,ID Year,Year,Completions,Slug University,Geography,ID Geography,Slug Geography
2,"Private not-for-profit, 4-year or above","167783","Simmons University",2020,"2020",2410,"simmons-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","482705","Northeastern University Professional Programs",2020,"2020",4016,"northeastern-university-lifelong-learning-network","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","168227","Wentworth Institute of Technology",2020,"2020",1040,"wentworth-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164614","Boston Baptist College",2020,"2020",6,"boston-baptist-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167677","Saint John's Seminary",2020,"2020",27,"saint-johns-seminary","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166656","MCPHS University",2020,"2020",2300,"mcphs-university","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","166869","MGH Institute of Health Professions",2020,"2020",582,"mgh-institute-of-health-professions","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167093","New England College of Optometry",2020,"2020",143,"new-england-college-of-optometry","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","165884","Benjamin Franklin Institute of Technology",2020,"2020",189,"benjamin-franklin-institute-of-technology","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164748","Berklee College of Music",2020,"2020",1786,"berklee-college-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","164872","Boston Architectural College",2020,"2020",187,"boston-architectural-college","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167057","The New England Conservatory of Music",2020,"2020",272,"the-new-england-conservatory-of-music","Boston, MA","16000US2507000","boston-ma"
2,"Private not-for-profit, 4-year or above","167215","New England Law-Boston",2020,"2020",153,"new-england-law-boston","Boston, MA","16000US2507000","boston-ma"
3,"Private for-profit, 4-year or above","164641","Bay State College (164641)",2020,"2020",212,"bay-state-college","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","167631","Roxbury Community College",2020,"2020",240,"roxbury-community-college","Boston, MA","16000US2507000","boston-ma"
4,"Public, 2-year","165112","Bunker Hill Community College",2020,"2020",1395,"bunker-hill-community-college","Boston, MA","16000US2507000","boston-ma"
5,"Private not-for-profit, 2-year","167297","North Bennet Street School",2020,"2020",14,"north-bennet-street-school","Boston, MA","16000US2507000","boston-ma"
