Mar-20,Sep-22,Sep-23,Datawrapper Name,Community Type
2164.150128,2535.198616,2696.342105,Woburn,Regional Urban Centers
1730.142294,2153.355365,2214.450142,Lowell (01852),Regional Urban Centers
1941.245049,2389.592234,2538.611111,Beverly,Regional Urban Centers
2164.824213,2562.848634,2734.829497,Salem,Regional Urban Centers
2007.850272,2358.074499,2469.42771,Quincy (02169),Regional Urban Centers
2391.656067,2756.227539,2787.870707,Quincy (02171),Regional Urban Centers
